DE,RO,EN
zusammenzuarbeiten,lucram impreuna,work together
chemischen,chimic,chemical
wählten,a ales,chose
herausbekommen,iesi afara,get out
vorderen,față,front
bestenfalls,cel mai bun la,at best
bluffen,cacealma,bluff
fingerabdrücken,amprente digitale,fingerprints
erinner,tine minte,remember
schraubenzieher,şurubelniţă,screwdriver
abbringen,descurajează,dissuade
stütze,a sustine,support
anja,Anja.,Anja
halunke,Halun.,halun
gunther,Gunther.,Gunther
prellungen,predicare,preaching
klettere,a urca,climb
schmerzlos,fără durere,painless
high-school,liceu,high school
verwandle,Rău,mean
verständnisvoll,înţelegere,understanding
rossi,Rossi.,Rossi
annette,Annette.,annette
zahnpasta,pastă de dinţi,toothpaste
stach,înjunghia,stab
80er,80.,80s
gefährlichste,cel mai periculos,most dangerous
tagesordnung,Agendă,Agenda
kalorien,calorie,calorie
aufgedreht,deranjat,upset
ire,irlandez,Irishman
verklemmt,blocat,jammed
prescott,Prescott.,prescott
hügeln,dealuri,hills
durchbrochen,rupt,broken
rechner,calculator,computer
schimmel,Matrite,Mould
seaquest,SeaQuest.,Seaquest
hotdogs,Hotdogs.,hotdogs
komplott,Plot,plot
jana,Jana.,Jana
vögelst,pasăre,bird
vernichte,distruge,destroy
taille,talie,waist
abkaufen,îngheţa,freeze
täusche,vulpe,fox
totalen,intru totul,totally
geburtstage,zi de nastere,birthday
tonband,bandă,tape
grundlagen,Bazele de bază,basics
monstern,monstru,monster
gerechtfertigt,justificată,justified
telefonate,apeluri telefonice,phone calls
weitersuchen,caută,search for
hinzugefügt,adăugat,added
erwidert,întors,returned
säule,stâlp,pillar
foul,fault,foul
dänen,Danezii,Danes
hintereingang,Intrarea din spate,rear entrance
marcia,Marcia.,Marcia
jeanette,Jeanette,jeanette
hurrikan,uragan,hurricane
trump,atu,trump
antiken,antic,antique
corporation,corporație,corporation
zauberstab,bagheta magica,Magic wand
verschlechtert,deteriorat,deteriorated
teleskop,telescop,telescope
torrente,Torrente.,torrente
verlangsamen,încetinește-l,slow it down
glänzende,lucios,shiny
verabscheue,Hilfavor.,hilfavor
schachzug,mișcare,move
zuversicht,încredere,confidence
fluchtweg,cale de evadare,escape route
ertrag,Randament,yield
hui,Hui.,hui
taverne,tavernă,tavern
luftschleuse,Aerlock.,airlock
gefühlvolle,sentimental,soulful
überlasst,supraalimentat,overeated
skywalker,Skywalker.,skywalker
moor,acosta,moor
elektriker,electrician,electrician
genitalien,Genitale,genitals
ausbreiten,răspândire,spread
stones,Pietrele,stones
binnen,în,within
rechtfertigt,justificată,justified
elanna,Elanna.,Elanna
anheben,lift,lift
runterholen,inventa,make up
schweige,tăcere,silence
preisgeben,dezvălui,reveal
bernardo,Bernardo.,Bernardo
dottie,a lega,totie
ahnst,Ah,ah
falk,Falk.,falk
burnett,BurnNet.,burnnet
everybody,toata lumea,everybody
bizarr,bizar,bizarre
fraser,Fraser.,fraser
aspekte,Aspecte,aspects
ramón,Ramón.,ramón
schummeln,trișa,cheat
toren,goluri,goals
unsern,USLE.,usle
gemeinen,Rău,mean
vernommen,auzi,hear
satans,Satana,Satan
pudel,pudel,poodle
wandel,Schimbare,change
fötus,făt,fetus
umbringst,rid,wrinkle
seoul,Seul,Seoul
halluzination,halucinaţie,hallucination
rekrutieren,recruta,recruit
stamme,Stem,stem
fokus,Focus,focus
kreative,creativi,creative
neujahr,An Nou,New Year
dünnen,subţire,thin
patrioten,patriot,patriot
bowlen,castron,bowl
replikatoren,Replicatori,replicators
roberta,Roberta,roberta
krepieren,a decupa,crop
schnupfen,Sniffles.,sniffles
toms,Toms,Toms
verdauen,digera,digest
muschis,păsărică,pussy
magisches,magic,magical
bares,Bares.,bares
zeitreisen,calatorie in timp,time travel
stande,stătea,stood
schlafmittel,vagon de dormit,sleeper
tölpel,Păsări de curte,poultry
vierter,Al patrulea,fourth
zeitlinie,cronologie,timeline
had,A avut,Had
stolpern,poticnire,stumble
enkelkinder,nepoți,grandchildren
verdeckte,ascuns,hidden
richtete,regizat,directed
urne,urnă,urn
hollis,Holly.,holly
verheimlichst,ascuns,concealed
nerd,Tocilar,Nerd
generals,general,general
ekg,ECG.,ECG
durchzuziehen,a reusi,pull through
geregnet,ploaie,rained
ausschlafen,dormi în,sleep in
alpen,Alpi,Alps
pence,pence.,pence
kinderwagen,cărucior,stroller
ladet,razand,laughing
ungezogen,obraznic,naughty
revanche,răzbunare,revenge
mika,Mika.,mika
tiny,Tiny.,tiny
weismachen,spectacol,show
zukünftiger,viitor,future
mamie,mămică,mum
cause,Cauză,Cause
verhältnisse,circumstanțe,circumstances
rubel,rublă,ruble
baumwolle,bumbac,cotton
erniedrigt,umilitate,humiliated
warpantrieb,urzeală,warp
moderner,modern,modern
ramona,Ramona.,Ramona
manu,manu,manu
zählst,numara,count
vogelgezwitscher,Bird Twittering,bird twittering
studierst,student,student
spalten,Coloane,columns
mcgill,McGill.,mcgill
asgard,Asgard.,asgard
außenminister,Ministrul de externe,foreign minister
angedeutet,indicat,indicated
gurke,castravete,cucumber
zelda,Zelda.,Zelda
dominique,Dominique.,Dominique
lucius,Lucius.,lucius
were,fi,be
verpfeifen,pisa,grind
auslachen,a rade la,laugh at
lebenswerk,munca vieții,life's work
demokraten,Democrații,democrats
kaiserlichen,imperial,imperial
ncis,NCIS.,NCIS
quoten,cotă,quota
geheimnissen,Secretele,secrets
freitags,în zilele de vineri,on Fridays
ganoven,ganoven.,ganova
tanzten,dansat,danced
einlässt,Intră,get in
taktische,tactic,tactical
aufkreuzen,traversa,cross
existierte,a existat,existed
cardassia,Cardassia.,Cardassia
zittere,tremura,tremble
havanna,Havan.,Havan
vertreibt,expulzând.,expelling
anspruchsvoll,provocator,challenging
beendete,dotat,endowed
rocken,rock,rock
rubin,rubin,ruby
darla,Darla,Darla
hinwegkommen,veniți,come across
mind,macar,at least
erbin,moştenitoare,heiress
winkt,fluturând.,waving
internationaler,internaţional,international
umzulegen,acoperire,overlay
brandt,Brandt.,Brandt
nageln,unghii,nail
denkbar,imaginabilă,conceivable
lilith,Lilith.,lilith
ausweisen,identifica,identify
mayo,Mayo.,mayo
türkisch,turc,Turkish
erbarme,milă,mercy
hinterwäldler,Hillbilly.,hillbilly
göttlichen,divin,divine
gequatsche,suc de fructe,squash
lowell,Lowell.,Lowell
fonds,fond,fund
aufgeschlossen,deschis la minte,open minded
foley,Folky.,folkey
welpe,Puppy.,puppy
töchtern,fiice,daughters
abzulehnen,respinge,reject
hastig,în grabă,hastily
pi,Pi.,pi
bürgern,cetățenii,citizens
polizeisirene,Serenitatea poliției,police serenity
anführerin,lider,leader
zählte,numărate,counted
beschmutzt,pestriţ,spotted
zubereiten,a pregati,prepare
vorschein,ușoară,light
pacific,Pacific,pacific
tyrannen,tiran,tyrant
trockner,uscător,dryer
kommandozentrale,centru de comandă,command center
verzögern,întârziere,delay
candace,Candace,Candace
tollwut,rabies.,rabies
hilton,Hilton.,hilton
kes,Kes.,Kes
freigesetzt,eliberată,released
lehn,a se sprijini,lean
erreichten,a ajunge,reach
obelix,Obelix.,obelix
befriedigung,satisfacţie,satisfaction
omas,bunicuţă,granny
edwin,Edwin.,edwin
janey,Jane.,jane
ufos,OZN,UFO
höhenangst,Atenție,heightening
grinst,grimasă,grin
nikolai,Nikolai.,Nikolai
alexandre,Alexandre.,Alexandre
wahrscheinlicher,probabil,probable
partnern,parteneri,partners
joanne,Joanne.,Joanne
sicherheitsvorkehrungen,Precauții de securitate,security precautions
sammelte,colectate,collected
gallier,galie,gallier
reichsten,cel mai bogat.,richest
ungemütlich,incomod,uncomfortable
pinguine,pinguini,penguins
ledig,singur,single
angestiftet,Stipy.,stipy
demonstranten,demonstrator.,demonstrator
sorten,Sortează.,sorts
ever,vreodată,ever
wiesel,nevăstuică,weasel
ambitionen,ambiţie,ambition
verhaftungen,arestare,arrest
obendrein,pe deasupra,on top of that
heftiger,feroce,fierce
räuspern,neizolat,bare
verbrannten,ars,burnt
irritiert,iritat,irritated
hotdog,hot dog,hot dog
marken,Branduri,Brands
gérard,Gérard.,gérard
stute,Mare.,mare
neutral,neutru,neutral
begnadigung,Pardon,pardon
taiwan,Taiwan.,Taiwan
ni,Ni.,ni
heiterem,bine dispus,cheerful
krankenversicherung,Asigurare de sanatate,Health insurance
abschuss,filmare,shooting
umsatz,volum de vânzări,sales volume
milz,splină,spleen
pandora,Pandora.,pandora
verschenkt,da gratis,give away
kompletter,complet,complete
transfer,transfer,transfer
pflegeheim,Creșă,Nursing home
inneres,interior,inside
teste,Test,test
evil,Rău,Evil
finsteren,întuneric,dark
loretta,Loretta.,loretta
unprofessionell,neprofesional.,unprofessional
jamaika,Jamaica.,Jamaica
pilar,Pilar.,pilar
syphilis,Sifilis.,syphilis
georgina,Georgina.,Georgina
letztem,ultimul,last
simms,Simms.,SIMMS
hervorragender,Realizat,outstanding
small,mic,small
verzweifelten,disperat,desperate
sonnensystem,sistem solar,solar system
widerrufen,retrage,withdraw
durchmacht,pe tot parcursul anului,throughout
warschau,Varşovia,Warsaw
jean-luc,Jean-Luc.,Jean-Luc
ping,ping.,ping
losgelassen,eliberată,released
verlängert,extins,extended
bee,albină,bee
feinsten,Cel mai bun,finest
feldern,câmpuri,fields
vergewissern,a te asigura,make sure
moderator,moderator.,moderator
romero,Romero.,Romero
entlastet,ameliorarea,relieving
quote,cotă,quota
furchtlos,neînfricat,fearless
dahlia,dalie,dahlia
pupillen,elevi,pupils
kommunismus,comunism,communism
wissenschaftlerin,om de stiinta,scientist
kristalle,cristale.,crystals
absender,expeditor,sender
abgekommen,Stray,stray
lasen,pierde,lose
austragen,livra.,deliver
polizeiwache,secție de poliție,police station
nizza,Grozav,Nice
cedric,Cedric.,Cedric
mietvertrag,contract de inchiriere,rental contract
sleepy,Somnoros,Sleepy
gonzo,Gonzo.,gonzo
anstecken,infecta,infect
krampf,cramp.,cramp
waffenhändler,Dealer de arme,weapon dealer
amerikanisch,american,American
bushaltestelle,Stație de autobuz,Bus stop
erstklassige,clasa întâi,first-class
turnhalle,sala,gym
erniedrigend,umilitor,humiliating
untergraben,submina,undermine
trauerfeier,înmormântare,funeral
unglaublicher,incredibil,incredible
schusslinie,linia de tragere,firing line
buckingham,Buckingham.,Buckingham
mondlicht,lumina lunii,moonlight
waldes,pădure,forest
verkrampft,înghesuit,cramped
injiziert,injectat,injected
count,numara,count
anzusprechen,recurs,appeal
eröffne,deschis,open
akzeptierst,Accept,accept
gestand,mărturisit,confessed
theaterstück,Joaca,play
budapest,Budapesta,Budapest
mitzubringen,aduce,bring along
belagerung,asediu,siege
statistiken,statistici,statistics
zweien,Două,two
anstrengungen,efort,effort
hochstapler,pericol,hazard
praktizieren,practică,practice
abschlussfeier,petrecere de absolvire,graduation party
isolation,izolare,isolation
schmiere,grăsime,grease
konkurrenten,concurent,competitor
nelle,Nelle.,nelle
verantwortliche,responsabil,responsible
sonnen,a se bronza,to sunbathe
durchgeschnitten,tăiat peste,cut across
sankt,Santa.,santa
nichtsnutz,neexistența,non-existence
vorbeikommt,trece,pass
kooperiert,a cooperat,cooperated
lausige,prost,lousy
disney,Disney.,disney
nachtigall,privighetoare,nightingale
starre,rigid,rigid
unternimmt,se angajează,undertake
besitzerin,proprietar,owner
linkes,legătură,link
sortieren,filtrează după,sort by
kel,Kel.,kel
drähte,fire,wires
äffchen,mica muimutica,little monkey
ergehen,merge,go
dreieck,triunghi,triangle
dünger,îngrăşământ,fertilizer
tätigkeit,sarcină,task
mitzumachen,Alăturați-vă,join in
essig,oţet,vinegar
lung,plămâni,lung
bess,Bess,bess
angehängt,atașat,attached
schneidest,tăiere,cutting
unterstellt,subordonat,subordinate
stressig,stresant,stressful
weißwein,vin alb,White wine
ewing,Ewing.,Ewing
dorn,mandrină,mandrel
nachtrag,Addendum.,addendum
kästchen,Castor,casket
maximum,maxim,maximum
ständigen,Fii permanent,be permanent
wörterbuch,dicţionar,dictionary
deborah,Deborah.,Deborah
wolfe,lup,wolf
sowjetischen,sovietic,Soviet
ablenkungsmanöver,Manevra de deformare,deflection maneuver
engsten,cel mai apropiat,closest
beigetreten,s-au alăturat,joined
second,al doilea,second
tasten,Cheile,Keys
gepostet,postat,posted
ro,RO,RO
tatest,Tattest,tattest
aufgesucht,căutat,sought
brennende,ardere,burning
ugh,Ugh.,ugh
chemiker,Chimist,Chemist
gestrigen,ieri,yesterday
shepard,Shepard.,shepard
joanie,Joanie.,Joanie
schaukel,Leagăn,Swing
twist,răsucire,twist
brock,Brock.,Brock
minderjährig,minor,minor
anmarsch,Martie,march
melbourne,Melbourne,melbourne
abartig,apt.,apt
rücksichtsvoll,grijuliu,considerate
hündin,cățea,female dog
unterlegen,inferior,inferior
doppelter,duplicat,duplicate
fabelhafte,fabulos,fabulous
einzubrechen,despartire,break up
heftigen,feroce,fierce
langweiler,şirag de mărgele,bead
göre,Gow.,gow
richtlinien,instrucțiuni,guidelines
ruin,ruina,ruin
blickwinkel,unghi,angle
glücklichsten,Cea mai fericită,happiest
ausgepackt,despachetat,unpacked
decknamen,Numele de acoperire,Cover name
maxime,Maxim,maxim
bescheuerten,prost,stupid
materialien,materialele,materials
franken,franc,franc
leoparden,leopard,leopard
enttäusche,dezamăgi,disappoint
weitermachst,de la distanță,remotely
beurteilt,judecat,judged
üblicherweise,de obicei,usually
beanspruchen,a incepe,take up
hm-hm,Hm-hm.,HM-HM
geldbörse,portofel,wallet
jor-el,Jor-El.,Jor-El
maddox,Maddox.,maddox
untreue,infidelitate,infidelity
cutter,Cutter.,cutter
letzt,ultimul,last
clans,clan,clan
maman,Maman.,maman
abwasch,spălat,washing
klaute,Gheară,claw
milliardär,miliardar,billionaire
taste,buton,button
event,eveniment,event
verkraftet,târî,creep
wameru,wamers.,wamer
emilie,Emilie.,emilie
rammen,Berbec,ram
besichtigen,vizita,visit
kanns,poate face acest lucru,can do it
70ern,70 de ani,70s
denis,Denis.,denis
marissa,Marissa.,Marissa
muskel,muşchi,muscle
bedauert,regretat,regretted
aussagt,evaluat,assessed
merkten,marcat,marked
baldwin,Baldwin.,Baldwin
arbeitern,muncitorii,workers
hebräisch,Ebraică,Hebrew
dietrich,Blockpick.,Lockpick
wessex,Wessex.,wessex
auflösung,rezoluţie,resolution
angelica,Angelica.,Angelica
ambulanz,ambulanță,ambulance
ereignet,apariție,occurring
ten,zece,ten
niklas,Niklas.,Niklas
zurückgeblieben,întoarce-te,come back
wiedersehe,revânzare,resale
erreichst,a ajunge,reach
erträgt,el poartă,he wears
dev,Devs.,DEV
sportwagen,mașină sport,sports car
makellos,perfect,flawless
engeln,înger,angel
gabby,gabby.,gabby
rindfleisch,vită,beef
koran,Coran,Koran
gebäuden,Clădiri de construcție,building buildings
tobt,cârpă,rag
charlies,Charlies.,charlect
folgendermaßen,după cum urmează,as follows
leukämie,leucemie,leukemia
cleo,Cleo,Cleo
körpern,organisme,bodies
archibald,Arhibald.,archibald
geilen,excitat,horny
lau,Lukewarm.,lukewarm
frieda,Frieda.,Frieda
gekrochen,crawled.,crawled
oslo,Oslo,Oslo
jericho,Jericho.,Jericho
dane,Dane.,Dane
helllichten,lumină puternică,bright light
hochverrat,trădare,treason
hege,sapă,hoe
drängeln,Apăsați,push
olympia,Olympia.,Olympia
wund,inflamat,sore
paßt,se potrivește,fits
verschleppt,dus,carried off
pot,oală,pot
öi,Öi.,ÖI
ablehnung,respingere,rejection
gekillt,ucis,killed
banden,bandă,gang
zuhörst,asculta,listen
cosima,Cosima.,Cosima
abwischen,Ștergeți,wipe off
erwähnst,specifica,specify
dobbs,DOBBING,dobbing
towers,turn,tower
hats,pălării,hats
ringt,Ridicat,wrinkled
curry,curry,curry
tödlicher,mortal,deadly
portugal,Portugalia,Portugal
verschollen,pierde,lose
sizilien,Sicilia.,Sicily
winziges,Tiny.,tiny
verbündet,aliat,allied
beschränken,restricționa,restrict
vash,vash.,vash
edison,Edison.,Edison
ausging,a fugit din,ran out of
once,o singura data,once
gläubigen,credincios,believer
bemerkenswerte,remarcabil,remarkable
heiter,luminos,bright
statement,afirmație,statement
schmücken,decora,decorate
teilst,parte,part
überlegung,considerare,consideration
schob,împins,pushed
weber,ţesător,weaver
festmahl,sărbătoare,feast
weggesperrt,închis,locked up
stiehlst,fura,steal
sommers,vară,summer
schachmatt,șah matt.,chess matt
terminkalender,programa,schedule
wagte,a îndrăznit,dared
kiss,pup,kiss
hexer,Witcher.,witcher
knistern,Crackle.,crackle
cahill,Cahill.,Cahill
mayer,Mayer.,Mayer
ausgerüstet,echipat,equipped
zurückhaltend,rezervat,reserved
bowman,Arcaş,Bowman
gänse,Geese,geese
schutt,moloz,rubble
pinky,roz,pink
strafbar,pedepsită,punishable
hawks,Hawks,hawks
fröhlicher,bine dispus,cheerful
marathon,maraton,marathon
klone,clona.,clone
funke,scânteie,spark
ziemliches,destul de,quite
80ern,80.,80's
geheiligt,vindecat,healed
kryptonit,Cryptonite.,cryptonite
hypothese,ipoteză,hypothesis
polizeibericht,raport al politiei,police report
marcos,Marcos.,marcos
lebenslang,de-a lungul vieții,lifelong
istja,este,is
sprachst,a rade,laugh
porzellan,porţelan,porcelain
saat,semințe,seed
signorina,Signorina.,signorina
grandios,teribil,terrific
entladen,descărca,unload
verliebe,a se îndrăgosti,fall in love
weibt,țesut,woven
auftragskiller,Ordine Killer,order killer
nachdenkst,gând,thought
anfordern,cerere,request
heisse,numele este,name is
handhaben,mâner,handle
slater,sclav,slave
oi,Oi.,oi
curly,creț,curly
appell,recurs,appeal
geheimnisvollen,misterios,mysterious
erwarteten,aştepta,expect
fe,FE.,fe
aberglaube,superstiție,superstition
wechselte,schimbat,changed
mdr,MDR.,MDR
mao,Mao,Mao
erfreulich,plăcut,pleasing
essex,Essex,Essex
bestandteil,Componenta,component
vi,VI.,vi
demütigend,umilitor,humiliating
isis,Isis.,Isis
überholen,depășirea,overtake
abgeordnete,adjunct,deputy
verliebten,iubit.,lover
thing,lucru,thing
beschwören,convoca,summon
diverse,variat,various
zuteil,pas,pitch
vorschreiben,prescrie,prescribe
künstlichen,artificial,artificial
graysons,Graysons.,Graysons
hütten,cabane,huts
kante,margine,edge
gesetzeshüter,avocat,lawyer
kenji,Kenji.,kenji
vorsichtsmaßnahme,Precauție,precaution
beneiden,invidie,envy
pitt,pitt.,pitt
schlagzeug,Tobe,Drums
zwangen,forţat,forced
laufbahn,Carieră,career
rippchen,coaste,ribs
physischen,fizic,physical
kleiderschrank,dulap pentru haine,wardrobe
beglichen,Stabiliți-vă,settle
zusagen,Accept,accept
saigon,Saigon.,Saigon
gebrüll,hohote,roar
statuen,statuie,statue
taugen,îmbrăţişare,hug
uwe,Uwe.,Uwe
hinführt,conduce,lead
carlotta,Carlotta.,Carlotta
tschau,chant,chant
magdalena,Magdalena.,Magdalena
herüber,peste,over
diesbezüglich,în această privință,in this regard
isobel,Isobel.,isobel
jamal,jamal.,jamal
erfindungen,Invenții,inventions
alaric,alaric.,alaric
statistik,statistici,statistics
always,mereu,always
teils,parte,part
lorna,Lorna.,lorna
didi,Didi.,Didi
rauscht,raze,ray
susi,Susi.,susi
personalabteilung,Departamentul de personal,personnel department
mitkomme,cum.,cum
taliban,Taliban,Taliban
vorgekommen,a avut loc,occurred
kreuzt,traversa,cross
trauert,jeli,mourn
beschließt,Foi de foioase,deciduous
beschuldigte,acuzat,accused
zurückzuziehen,retragere,retreat
nachgeforscht,Întrebat,inquired
brech,zdrobirea,crushing
kriminalpolizei,Poliția penală,criminal police
britischer,britanic,British
lees,drojdie,lees
ernest,EREST.,erest
marv,Marv.,Marv
klopapier,hârtie igienica,toilet paper
tauchten,picaj,dive
gültig,valabil,valid
eduardo,Eduardo,Eduardo
versohlen,lovitură straşnică,wallop
überfälle,raid,raid
wiedergutzumachen,recupera,recover
missachten,ignora,ignore
charmante,fermecător,charming
zugewiesen,alocat.,assigned
befanden,găsite,found
gisburne,Gisburne.,gisburne
huang,Huang.,huang
geschehe,fericire,happiness
traten,îneca,drown
doreen,Doreen.,doreen
checkt,Verifica,check
zaum,frâu,bridle
immunsystem,sistem imunitar,immune system
nägeln,Nails.,nails
veteranen,Veteranii,veterans
telefonnummern,numere de telefon,phone numbers
elton,Elton.,Elton
authentisch,autentic,authentic
lüften,ventila,ventilate
betrog,lovit,struck
weiterführen,continua,continue
vorrücken,avans,advance
moody,Moody.,moody
weiterreden,revendica,reclaim
sarkastisch,sarcastic,sarcastic
hangar,Hangar.,hangar
raste,rachetă,racket
einmischung,interferențe,interference
schuljahr,an scolar,school year
löchern,gaură,hole
kraut,Herb.,herb
lebhaft,plin de viață,lively
verlaub,frunziş,foliage
erwartung,așteptare,expectation
diesel,motorină,diesel
françoise,Françoise.,françoise
nachlass,imobiliar,estate
garrison,garnizoană,garrison
sanatorium,sanatoriu,sanatorium
uncool,nu rece,not cool
romantiker,romantic,romantic
einweihen,inaugura,inaugurate
feiere,sărbători,celebrate
allerersten,primul,first
fayed,Fayed.,fayed
mails,Poștă,Mail
verheiraten,căsătorie,marry
abbott,Stareţ,Abbot
shorty,Shorthand,shorthand
überlegte,grijuliu,thoughtful
gezögert,delicat,delicate
konfrontieren,confrunta,confront
aussehender,in cautarea,looking
donnelly,Donnelly.,donnelly
angetreten,a avut loc,occurred
roscoe,Roscoe.,Roscoe
überführt,transferat,transferred
bankett,banchet,banquet
beachte,observa,observe
bereinigen,curăță,clean up
kritischen,critic,critical
cloud,nor,cloud
aktiven,activ,active
jojo,jojo.,jojo
friedlichen,pașnic,peaceful
grantham,Grantham.,Grantham
carpenter,dulgher,carpenter
himmlischen,ceresc,heavenly
wegbleiben,stai departe,stay away
lump,lunță,lump
öffentliches,public,public
geburtstagskind,Sărbătoritul,birthday boy
verbotene,interzis,forbidden
wirklicher,real,real
rider,călăreț,rider
drehung,rotație,rotation
einzelner,singur,single
olivier,Olivier.,olivier
lafayette,Lafayette.,lafayette
serienkiller,criminal în serie,serial killer
wiederherzustellen,restabili,restore
schwersten,cel mai greu,hardest
gefährlichsten,cel mai periculos,most dangerous
spektakel,spectacol,spectacle
beherrsche,maestru,master
regenschirm,umbrelă,umbrella
flossen,amendat,fined
beabsichtige,intenționează,intend
durchsehen,a se uita prin,look through
begründung,Motiv,Reason
dieter,Dieter.,dieter
grenzt,legat,bound
telefonisch,telefon,telephone
waschbär,racoon.,racoon
christliche,creştin,Christian
gesäubert,linguşi,palaver
algerien,Algeria.,Algeria
dolmetscher,interpret,interpreter
sichtweise,Punct de vedere,Point of view
kurzschluss,scurt circuit,short circuit
bedeutende,semnificativ,significant
amüsiere,amuzant,amusing
europäische,european,European
verspottet,a-și bate joc,mock
gleiten,glisați,slide
assistieren,asista,assist
ehebruch,adulter,adultery
berkeley,Berkeley.,Berkeley
fauler,leneş,lazy
güter,bunuri,goods
haiti,Haiti,Haiti
aufschlagen,a crapa,crack open
zwangsläufig,inevitabil,inevitably
teilnahme,participare,participation
something,uneori,somether
gläubiger,creditor,creditor
empört,indignat,outraged
unberührt,neatins,untouched
vorhersagen,prezice,predict
lutz,Lutz.,lutz
hiesigen,local,local
hailey,Haly.,haily
singh,Singh.,singh
verblüfft,nedumerit,perplexed
flugzeugen,aeronavă,aircraft
golfplatz,Teren de golf,golf course
birgt,putred,putrid
führende,conducere,leading
härteste,cel mai greu,toughest
building,construi,build
eitel,zadar,vain
mücke,ţânţar,mosquito
stärkeres,mai puternica,stronger
ungläubigen,necredincioși,unbelievers
geklettert,urcat,climbed
injektion,injecţie,injection
partikel,particulă,particle
jun,iunie,jun
moreno,Moreno.,Moreno
quantico,Quantico.,quantico
pyramiden,Piramids.,pyramids
hackbraten,fleică,meatloaf
kopfkissen,pernă,pillow
quadranten,QUADRANT.,quadrant
verschicken,trimite,send
schimpfen,declama,rant
water,apă,water
moin,Buna ziua,Hello
streiken,grevă,strike
staatsbürger,cetăţean,citizen
östlichen,est.,eastern
maximale,maxim,maximum
währung,valută,currency
samir,samir.,samir
dreckschwein,porc murdar,dirty pig
abschleppen,trageți,tow away
lorne,oropsit,lorn
tauscht,schimbat,exchangeable
jubiläum,aniversare,anniversary
tanaka,Tanaka.,Tanaka
verschweigst,Glamour.,glamor
hofe,iepure de câmp,hare
q.,q.,q.
philosoph,filozof,philosopher
durchqueren,traversa,traverse
insider,Insider.,insider
freizulassen,Excursie,enlarge
marlowe,Marlowe.,Marlowe
brillanten,Sclipitor,brilliant
yates,Yates.,Yates
eroberung,cucerire,conquest
eingeredet,sofisticat,sophisticated
verseucht,contume,contumes
unlogisch,ilogic,illogical
vorherigen,anterior,previous
uralte,vechi,ancient
selbstbewusstsein,conștiința de sine,self-consciousness
müsli,cereale,cereal
musstet,Menter,muster
buckel,cocoaşă,humpback
vogelscheuche,sperietoare,scarecrow
normandie,Normandia,Normandy
feuchte,umed,wet
bundesagenten,Agentul federal,federal agent
begleitest,însoțește,accompanies
rächt,cuptor,oven
gassi,Gassi.,gassi
tito,Tito.,Tito
florrick,FLORICK.,Florrick
fohlen,mânz,foal
ehm,EHM.,Ehm
hitlers,Hitler.,Hitler
dekoration,decor,decoration
französisches,limba franceza,French
whitey,Whitey.,whitey
geheimwaffe,armă secretă,secret weapon
patsy,Patsy.,patsy
schikaniert,intimidare,bullying
peabody,Peabody.,peabody
niest,Niesh.,niesth
flehte,plotting,plotting
manch,niste,some
wahn,iluzie,delusion
bügeln,fier,iron
entsichert,retras,secluded
jeglichen,toate,all
nicht.,nu.,not.
überprüfte,verificat,checked
kassetten,casete,cassettes
futsch,plecat,gone
ähnlicher,Similar,similar
roxy,Roxy.,roxy
unvorsichtig,neglijent,careless
them,lor,them
sprengt,sângerare,bleeding
hour,ora,hour
erledigst,face,doing
klugen,declin,wane
aggression,agresiune,aggression
früherer,fost,former
pietro,Pietro.,pietro
marius,Marius.,Marius
viva,Viva.,viva
auskennt,Știe,knows
weibern,Femeie,female
hegen,rănit,hurt
designer,Designer.,designer
goliath,Goliat.,Goliath
flüssig,fluid,fluid
aufgerufen,invocat,invoked
herausstellt,a se dovedi,turn out
no.,Nu.,No.
leckeren,delicios,delicious
formalität,formalitate,formality
breiten,larg,broad
abwerfen,arunca,throw off
nervensystem,sistem nervos,nervous system
versöhnung,reconciliere,reconciliation
instruktionen,instrucțiuni,instructions
kalle,Chale.,chale
ya,Ya.,ya
großstadt,oraș mare,big city
füge,decalaj,gap
schleppt,traseu,trail
formalitäten,Formalități,formalities
droiden,droid.,droid
klassischer,clasic,classic
louisa,Louisa.,Louisa
cosmo,Cosmo.,cosmo
hingefahren,merge,go
aufschlitzen,bară oblică,slash
lutsch,loll.,loll
ultimatum,ultimatum,ultimatum
nachhause,Acasă,home
vorzeitig,prematur,premature
natasha,Natasha.,Natasha
physiker,fizician,physicist
ochse,Bou,Ox
genannte,numit,named
francesco,Francesco.,Francesco
erfindet,El gaseste,He finds
freigeben,eliberare,release
stimmst,vot,voting
inne,Inane,inane
absolutes,absolut,absolute
erschöpfung,epuizare,exhaustion
zerschmettert,spulberat,shattered
schweinen,porc,pork
eindrucksvoll,impresionant,impressively
behüte,Păstrarea,keeping
ersticke,conversație,chat
nino,Nino.,nino
abdecken,acoperi,cover
besorgungen,comisioane,errands
gebärmutter,uter,uterus
fußspuren,amprenta,footprint
nasse,umed,wet
poliert,lustruit,polished
ch4040ff,Ch4040ff.,CH4040FF
kill,ucide,kill
verwandtschaft,relaţie,relationship
einzusperren,blocare,lock in
dokumentation,documentație,documentation
distanziert,îndepărtat,distant
intimität,intimitate,intimacy
dringender,urgent,urgent
selbstsicher,încrezător în sine,self confident
dickköpfig,încăpăţânat,stubborn
verbündeter,aliat,ally
kanadier,canadian,Canadian
mineralwasser,Apă minerală,Mineral water
minderjährigen,minor,minor
neusten,cele mai recente,latest
father,Tată,father
